date,food_demand_kg,water_demand_liters,medicine_demand_units,shelter_demand_units
2022-03-30,6381,17096,870,164
2022-03-31,2181,15627,229,318
2022-04-01,4945,14070,562,161
2022-04-02,6286,16943,821,106
2022-04-03,2296,10434,394,393
2022-04-04,8932,17467,140,429
2022-04-05,6983,11138,501,73
2022-04-06,1977,19000,570,395
2022-04-07,6553,19157,660,175
2022-04-08,8302,6180,227,361
2022-04-09,4449,3242,261,448
2022-04-10,2807,13587,993,425
2022-04-11,4456,8443,409,327
2022-04-12,4817,8597,461,291
2022-04-13,1927,2908,992,424
2022-04-14,6267,2175,355,103
2022-04-15,8921,2938,963,451
2022-04-16,7301,16739,497,142
2022-04-17,9657,13602,358,420
2022-04-18,1069,17756,403,468
2022-04-19,6927,8366,727,449
2022-04-20,2431,15112,529,403
2022-04-21,6889,13640,677,354
2022-04-22,1410,10682,556,129
2022-04-23,8502,17009,168,274
2022-04-24,7937,13977,891,159
2022-04-25,6526,5834,583,417
2022-04-26,5834,17018,537,360
2022-04-27,1253,17452,245,230
2022-04-28,1617,16920,796,419
2022-04-29,9744,8195,613,387
2022-04-30,2802,6602,188,456
2022-05-01,1476,18209,407,100
2022-05-02,5215,8712,232,151
2022-05-03,7983,16544,420,233
2022-05-04,2820,8845,528,302
2022-05-05,4914,17882,145,245
2022-05-06,8907,16258,421,75
2022-05-07,5841,11472,810,468
2022-05-08,8201,3003,971,478
2022-05-09,8517,9956,703,124
2022-05-10,1211,15848,231,147
2022-05-11,4134,6567,566,182
2022-05-12,5034,12386,569,203
2022-05-13,1439,5871,224,348
2022-05-14,1876,15199,798,197
2022-05-15,4723,11475,167,487
2022-05-16,9750,13923,374,305
2022-05-17,2465,7079,986,242
2022-05-18,4100,17501,813,291
2022-05-19,9910,6913,299,438
2022-05-20,7979,2753,627,309
2022-05-21,1323,14755,713,353
2022-05-22,1643,2126,566,75
2022-05-23,8630,5341,116,306
2022-05-24,3797,19201,323,245
2022-05-25,1777,14557,939,272
2022-05-26,8934,9167,220,276
2022-05-27,3897,10581,899,95
2022-05-28,1579,12692,548,100
2022-05-29,5545,16960,714,123
2022-05-30,6242,16228,478,143
2022-05-31,6293,11562,118,277
2022-06-01,1945,11232,218,135
2022-06-02,4632,2120,578,347
2022-06-03,7734,4682,158,238
2022-06-04,1164,17059,298,359
2022-06-05,7288,5992,953,395
2022-06-06,4858,12282,479,385
2022-06-07,7037,17909,466,168
2022-06-08,9180,11763,328,327
2022-06-09,6580,14039,913,331
2022-06-10,5724,2443,627,490
2022-06-11,7122,10571,451,339
2022-06-12,6586,19963,711,388
2022-06-13,7803,11480,635,384
2022-06-14,2866,5302,368,374
2022-06-15,8980,14427,395,105
2022-06-16,9749,18209,205,283
2022-06-17,5684,2078,346,240
2022-06-18,3292,14101,151,467
2022-06-19,2767,14656,759,466
2022-06-20,8820,9082,185,386
2022-06-21,7087,16730,535,69
2022-06-22,2167,4923,159,273
2022-06-23,1937,13010,154,284
2022-06-24,9713,18805,989,449
2022-06-25,9780,19519,257,100
2022-06-26,7570,10508,823,51
2022-06-27,1035,15451,285,265
2022-06-28,9686,7996,740,400
2022-06-29,8461,8976,997,420
2022-06-30,3779,4587,271,274
2022-07-01,3884,14056,156,135
2022-07-02,4223,14239,435,454
2022-07-03,5326,11352,300,394
2022-07-04,3982,7222,951,423
2022-07-05,2634,17928,853,248
2022-07-06,6774,11555,545,296
2022-07-07,1248,19269,805,94
2022-07-08,1346,6268,981,342
2022-07-09,5816,2355,984,396
2022-07-10,6173,15455,438,299
2022-07-11,5242,3867,769,170
2022-07-12,1297,17905,814,221
2022-07-13,3036,5420,802,434
2022-07-14,3952,9135,550,358
2022-07-15,6117,11620,737,352
2022-07-16,4587,2537,120,332
2022-07-17,6245,12967,546,89
2022-07-18,1805,16950,537,417
2022-07-19,1649,10239,642,309
2022-07-20,8734,11067,223,448
2022-07-21,4555,17619,561,396
2022-07-22,6540,7081,383,182
2022-07-23,6527,8188,136,242
2022-07-24,8823,7451,869,301
2022-07-25,2656,15985,257,308
2022-07-26,5125,8140,664,187
2022-07-27,3848,19059,955,418
2022-07-28,8462,12258,523,430
2022-07-29,8306,5169,616,482
2022-07-30,4176,10773,488,338
2022-07-31,2739,17879,265,60
2022-08-01,9431,10384,974,325
2022-08-02,7010,4011,191,328
2022-08-03,5320,4252,684,154
2022-08-04,3948,12728,830,303
2022-08-05,4982,17449,825,317
2022-08-06,4014,16910,758,161
2022-08-07,2606,15868,908,485
2022-08-08,6982,7959,631,93
2022-08-09,6925,15717,957,278
2022-08-10,3528,11241,451,211
2022-08-11,7600,8603,351,73
2022-08-12,5165,8769,873,169
2022-08-13,6316,5373,727,67
2022-08-14,9316,10599,141,323
2022-08-15,8399,8881,214,310
2022-08-16,7719,12517,746,380
2022-08-17,6007,6422,268,179
2022-08-18,8772,3235,835,142
2022-08-19,2316,6040,537,294
2022-08-20,5513,6079,156,468
2022-08-21,3331,17199,924,193
2022-08-22,5263,18729,248,496
2022-08-23,8295,9284,848,203
2022-08-24,3926,16965,470,434
2022-08-25,7831,2625,491,446
2022-08-26,2755,9416,318,376
2022-08-27,5862,15382,277,274
2022-08-28,6377,8278,370,329
2022-08-29,7315,4072,554,202
2022-08-30,9742,18767,754,484
2022-08-31,9162,9239,385,497
2022-09-01,4294,8763,486,377
2022-09-02,2316,10644,768,66
2022-09-03,2543,11316,952,250
2022-09-04,4379,18088,926,485
2022-09-05,7319,3641,899,221
2022-09-06,9537,9162,515,369
2022-09-07,7478,2229,699,421
2022-09-08,6273,14177,156,318
2022-09-09,5689,11093,379,153
2022-09-10,7016,5873,852,125
2022-09-11,6634,9827,510,403
2022-09-12,4145,19592,251,475
2022-09-13,4091,17646,629,429
2022-09-14,8198,11002,692,52
2022-09-15,2006,17842,905,368
2022-09-16,6059,12850,585,353
2022-09-17,6335,8968,585,428
2022-09-18,2755,3134,740,55
2022-09-19,1601,8884,920,88
2022-09-20,4964,2258,470,305
2022-09-21,5327,16508,937,275
2022-09-22,3097,2705,823,120
2022-09-23,2721,5818,939,371
2022-09-24,7639,10545,195,193
2022-09-25,5275,7296,575,184
2022-09-26,1277,7687,985,137
2022-09-27,8186,11018,869,470
2022-09-28,8327,13211,964,419
2022-09-29,5519,6758,688,455
2022-09-30,3099,17916,300,56
2022-10-01,3775,12759,847,274
2022-10-02,3528,7436,601,359
2022-10-03,7502,16613,520,450
2022-10-04,7302,5809,378,346
2022-10-05,2831,2695,558,459
2022-10-06,2456,14951,372,299
2022-10-07,2106,8815,632,288
2022-10-08,4998,19672,473,421
2022-10-09,2736,11789,576,79
2022-10-10,6234,17490,697,367
2022-10-11,5606,18162,786,203
2022-10-12,5267,3527,811,287
2022-10-13,2776,14049,603,381
2022-10-14,6398,18372,923,136
2022-10-15,7458,12764,874,413
2022-10-16,6494,19557,191,239
2022-10-17,2300,2887,677,298
2022-10-18,1000,16154,829,426
2022-10-19,5119,17440,464,428
2022-10-20,2969,7379,557,221
2022-10-21,7863,9688,749,208
2022-10-22,3950,9751,687,458
2022-10-23,2205,13645,648,104
2022-10-24,6944,13776,824,301
2022-10-25,7492,9498,334,331
2022-10-26,2835,18910,629,354
2022-10-27,5828,12567,504,111
2022-10-28,7778,5095,322,75
2022-10-29,7211,12905,311,261
2022-10-30,6084,12993,631,344
2022-10-31,2238,13782,901,283
2022-11-01,8873,12638,173,142
2022-11-02,1142,12573,351,444
2022-11-03,9289,2424,333,256
2022-11-04,7243,12065,571,76
2022-11-05,7112,17149,472,199
2022-11-06,1169,13009,710,462
2022-11-07,6456,17209,252,415
2022-11-08,7686,3481,219,345
2022-11-09,9467,12757,848,331
2022-11-10,6427,7255,808,74
2022-11-11,7437,15462,639,348
2022-11-12,8588,13255,274,371
2022-11-13,6955,10700,205,58
2022-11-14,5959,8292,202,327
2022-11-15,1485,11247,986,156
2022-11-16,6846,5399,943,276
2022-11-17,6288,10455,451,108
2022-11-18,5092,9319,730,435
2022-11-19,2065,7770,149,130
2022-11-20,6635,19498,594,465
2022-11-21,9643,14548,235,83
2022-11-22,9054,10600,874,383
2022-11-23,2789,9668,465,326
2022-11-24,8561,15739,770,490
2022-11-25,5266,4558,772,265
2022-11-26,2827,8838,447,68
2022-11-27,3144,13381,163,263
2022-11-28,7122,4144,872,183
2022-11-29,6581,9974,905,381
2022-11-30,3491,15886,456,253
2022-12-01,6536,10078,992,266
2022-12-02,1775,16680,863,354
2022-12-03,2049,11385,765,333
2022-12-04,6622,19941,151,145
2022-12-05,5713,18660,788,191
2022-12-06,3910,13190,376,82
2022-12-07,7817,10038,598,458
2022-12-08,6466,16164,180,411
2022-12-09,8803,10377,619,497
2022-12-10,5423,3829,389,280
2022-12-11,5953,6974,619,329
2022-12-12,7289,7668,719,240
2022-12-13,9921,5315,774,430
2022-12-14,1845,16397,646,387
2022-12-15,4556,11952,642,302
2022-12-16,2529,12215,226,356
2022-12-17,4742,7611,303,89
2022-12-18,4196,4788,647,326
2022-12-19,1481,12130,279,54
2022-12-20,6298,16543,995,373
2022-12-21,2303,5158,582,351
2022-12-22,7814,2761,962,470
2022-12-23,7073,11497,585,470
2022-12-24,7961,14553,260,310
2022-12-25,8332,5629,270,326
2022-12-26,4552,2237,755,175
2022-12-27,9789,5294,983,252
2022-12-28,7531,8496,466,300
2022-12-29,3870,14158,855,463
2022-12-30,1719,18049,584,360
2022-12-31,2303,2697,126,254
2023-01-01,1015,10982,487,88
2023-01-02,1646,17696,439,161
2023-01-03,7477,2925,744,327
2023-01-04,7124,8843,824,53
2023-01-05,7562,11081,596,310
2023-01-06,6224,4428,353,114
2023-01-07,8598,2204,980,399
2023-01-08,7074,14433,298,221
2023-01-09,7689,2169,275,327
2023-01-10,4161,15936,954,177
2023-01-11,4776,18845,275,482
2023-01-12,8390,2375,384,142
2023-01-13,9500,3128,644,102
2023-01-14,2586,11632,681,195
2023-01-15,2868,11053,960,163
2023-01-16,9274,2319,644,129
2023-01-17,4608,3710,397,212
2023-01-18,5938,5663,724,224
2023-01-19,4636,13509,787,297
2023-01-20,9279,17780,877,384
2023-01-21,2036,6726,768,332
2023-01-22,7495,11004,439,227
2023-01-23,5267,18173,159,392
2023-01-24,5077,12330,101,243
2023-01-25,6280,15611,690,396
2023-01-26,3137,8119,930,462
2023-01-27,6757,5267,906,184
2023-01-28,7595,11286,374,74
2023-01-29,9442,17974,807,254
2023-01-30,7652,12810,744,143
2023-01-31,4848,9477,703,192
2023-02-01,5898,19635,688,322
2023-02-02,2788,7074,278,234
2023-02-03,9836,6523,427,328
2023-02-04,5488,17429,515,408
2023-02-05,3716,11714,284,269
2023-02-06,9395,16815,779,251
2023-02-07,2837,16601,455,78
2023-02-08,4312,10920,460,366
2023-02-09,2793,15810,355,250
2023-02-10,1297,7647,556,147
2023-02-11,9893,17502,550,97
2023-02-12,4875,13267,402,163
2023-02-13,6861,9521,799,104
2023-02-14,2112,12732,672,426
2023-02-15,1446,16654,365,95
2023-02-16,7063,19840,250,205
2023-02-17,2359,14063,780,102
2023-02-18,3058,8698,153,282
2023-02-19,3726,13262,685,276
2023-02-20,6563,16376,515,302
2023-02-21,7518,19488,528,336
2023-02-22,9163,17530,922,254
2023-02-23,5274,5373,473,110
2023-02-24,8866,13352,694,54
2023-02-25,8450,15585,312,95
2023-02-26,5509,4392,297,478
2023-02-27,9878,9722,699,97
2023-02-28,3272,3263,463,355
2023-03-01,1599,18493,339,331
2023-03-02,8993,14243,206,388
2023-03-03,4847,5244,190,51
2023-03-04,8886,3439,496,94
2023-03-05,2385,4507,722,485
2023-03-06,5187,7318,491,283
2023-03-07,3017,7803,251,295
2023-03-08,2225,15692,430,350
2023-03-09,2639,16292,184,72
2023-03-10,4830,17514,971,485
2023-03-11,9965,13588,895,69
2023-03-12,7641,12874,882,87
2023-03-13,9192,3182,500,369
2023-03-14,5640,2779,852,441
2023-03-15,7601,5849,790,251
2023-03-16,2547,4908,526,193
2023-03-17,7350,17137,795,64
2023-03-18,8767,14198,959,294
2023-03-19,8573,7146,571,110
2023-03-20,4306,19431,245,285
2023-03-21,1636,7177,855,336
2023-03-22,9291,12961,903,75
2023-03-23,1634,3778,373,461
2023-03-24,5401,17957,190,443
2023-03-25,9788,18702,546,437
2023-03-26,7568,4675,665,452
2023-03-27,6037,5953,215,335
2023-03-28,3141,6914,733,201
2023-03-29,6274,5363,427,364
2023-03-30,9548,17716,986,489
2023-03-31,1583,9684,813,476
2023-04-01,2380,17873,503,157
2023-04-02,4196,9455,640,481
2023-04-03,6698,8107,606,202
2023-04-04,1242,12629,293,66
2023-04-05,3591,6156,267,300
2023-04-06,7361,4576,242,249
2023-04-07,1141,7721,437,312
2023-04-08,2814,6467,125,311
2023-04-09,5186,3978,579,162
2023-04-10,4794,13191,407,104
2023-04-11,6345,8025,513,246
2023-04-12,8036,13602,863,376
2023-04-13,4708,11976,977,423
2023-04-14,6012,12009,597,423
2023-04-15,9428,2190,286,249
2023-04-16,6469,9708,970,375
2023-04-17,8135,18480,509,219
2023-04-18,5160,8956,518,233
2023-04-19,4334,7127,221,292
2023-04-20,3267,10450,180,422
2023-04-21,8870,9543,218,454
2023-04-22,2966,16161,831,107
2023-04-23,6483,11789,661,96
2023-04-24,3414,5158,330,70
2023-04-25,9360,5978,596,166
2023-04-26,5512,13783,897,491
2023-04-27,7713,4417,762,132
2023-04-28,6538,17018,732,51
2023-04-29,2390,10239,220,244
2023-04-30,7733,18115,695,429
2023-05-01,5355,9308,321,391
2023-05-02,1384,12270,295,174
2023-05-03,8819,2367,556,403
2023-05-04,9909,3169,424,266
2023-05-05,2912,12991,271,472
2023-05-06,7226,13759,878,112
2023-05-07,2899,16657,115,250
2023-05-08,8977,5548,516,139
2023-05-09,5856,15447,652,469
2023-05-10,9712,19585,268,149
2023-05-11,3772,4203,998,323
2023-05-12,2934,13698,939,314
2023-05-13,9309,3223,585,389
2023-05-14,9429,18669,545,496
2023-05-15,4009,3775,388,413
2023-05-16,6305,15140,563,496
2023-05-17,3108,11721,728,313
2023-05-18,8812,17176,837,363
2023-05-19,6269,11223,357,294
2023-05-20,1319,15700,403,76
2023-05-21,2808,8890,453,369
2023-05-22,1013,3945,711,414
2023-05-23,4626,9711,949,372
2023-05-24,8595,4505,834,327
2023-05-25,6725,17704,261,259
2023-05-26,3401,10721,130,221
2023-05-27,1159,2154,606,484
2023-05-28,6769,12184,580,402
2023-05-29,5159,6652,651,146
2023-05-30,5173,4495,703,395
2023-05-31,2555,5142,353,191
2023-06-01,8403,5509,223,455
2023-06-02,7857,19928,132,177
2023-06-03,6881,7909,651,166
2023-06-04,8873,6485,130,403
2023-06-05,3935,3134,273,438
2023-06-06,6409,15529,137,217
2023-06-07,5843,15691,369,346
2023-06-08,7401,3912,611,335
2023-06-09,2277,13882,521,268
2023-06-10,1937,9421,340,242
2023-06-11,8686,12918,850,139
2023-06-12,3154,9299,883,378
2023-06-13,4545,4909,123,464
2023-06-14,1981,7845,210,214
2023-06-15,7937,13682,993,395
2023-06-16,2244,18112,266,357
2023-06-17,8619,17214,469,153
2023-06-18,5734,11067,415,130
2023-06-19,5842,10637,610,351
2023-06-20,5472,8801,887,377
2023-06-21,6714,5381,686,408
2023-06-22,5324,10818,256,437
2023-06-23,3555,14472,145,272
2023-06-24,9000,8468,475,282
2023-06-25,2071,13761,470,306
2023-06-26,3949,6829,841,162
2023-06-27,3200,3808,418,139
2023-06-28,7731,14871,868,395
2023-06-29,1629,4861,681,472
2023-06-30,5135,16671,330,409
2023-07-01,5158,16747,303,317
2023-07-02,8260,9631,186,394
2023-07-03,9110,8373,327,278
2023-07-04,2734,14714,844,483
2023-07-05,3838,2856,520,70
2023-07-06,8596,7883,374,64
2023-07-07,7782,14552,131,140
2023-07-08,1857,9785,888,321
2023-07-09,6069,10092,254,143
2023-07-10,5747,2053,745,473
2023-07-11,4153,2669,756,143
2023-07-12,8376,12633,521,127
2023-07-13,5861,6093,366,124
2023-07-14,4139,13023,945,345
2023-07-15,8295,6887,564,493
2023-07-16,1290,10416,229,417
2023-07-17,2562,14866,338,430
2023-07-18,4972,2241,109,244
2023-07-19,9382,9976,613,51
2023-07-20,1767,11074,940,483
2023-07-21,5303,13531,477,474
2023-07-22,4534,5752,816,218
2023-07-23,9985,14091,552,398
2023-07-24,4217,14321,565,421
2023-07-25,9033,6113,220,87
2023-07-26,4581,7373,931,235
2023-07-27,8379,5537,204,79
2023-07-28,2336,3307,478,170
2023-07-29,2031,6729,283,324
2023-07-30,7199,13708,152,457
2023-07-31,9793,13100,596,62
2023-08-01,9775,2075,167,203
2023-08-02,2484,7241,621,436
2023-08-03,9626,2225,514,206
2023-08-04,6902,11304,297,157
2023-08-05,1323,6596,564,142
2023-08-06,9053,5024,552,370
2023-08-07,2851,15561,417,51
2023-08-08,5536,7048,998,341
2023-08-09,3628,17350,584,56
2023-08-10,3616,9162,476,254
2023-08-11,2879,8358,931,219
2023-08-12,1191,15338,186,195
2023-08-13,2589,17005,919,264
2023-08-14,9908,7351,281,260
2023-08-15,7325,10804,826,474
2023-08-16,9919,4022,662,461
2023-08-17,6502,6630,989,217
2023-08-18,2012,7544,790,316
2023-08-19,8096,9949,764,292
2023-08-20,1227,17826,292,248
2023-08-21,4867,8729,470,391
2023-08-22,9737,3966,388,116
2023-08-23,4743,10806,323,317
2023-08-24,6911,5157,865,475
2023-08-25,7859,8724,699,178
2023-08-26,1257,17656,521,290
2023-08-27,6265,6868,259,448
2023-08-28,1351,2364,649,496
2023-08-29,3659,2908,972,214
2023-08-30,5946,17531,382,355
2023-08-31,7420,19305,263,469
2023-09-01,2072,13901,450,134
2023-09-02,2223,19801,852,354
2023-09-03,2195,2632,774,180
2023-09-04,6129,18195,302,444
2023-09-05,7819,9605,271,476
2023-09-06,4342,4390,619,222
2023-09-07,7089,17545,251,336
2023-09-08,7267,18061,136,82
2023-09-09,3538,4643,606,72
2023-09-10,7082,4540,394,122
2023-09-11,8091,9899,588,458
2023-09-12,7110,5408,503,296
2023-09-13,9823,7254,812,335
2023-09-14,5061,3833,627,427
2023-09-15,4567,4745,831,286
2023-09-16,2118,15764,341,486
2023-09-17,7456,3823,958,215
2023-09-18,5026,17768,536,80
2023-09-19,8662,10842,805,350
2023-09-20,2081,9253,341,391
2023-09-21,9350,19727,567,479
2023-09-22,6832,7813,353,264
2023-09-23,6954,6648,767,346
2023-09-24,5270,8979,592,371
2023-09-25,6260,18770,336,188
2023-09-26,6931,11107,924,237
2023-09-27,5954,6335,537,58
2023-09-28,6885,4380,911,358
2023-09-29,5444,19637,537,241
2023-09-30,2618,19419,754,204
2023-10-01,9472,18890,825,465
2023-10-02,9150,11454,239,328
2023-10-03,6550,8672,695,363
2023-10-04,2404,11132,606,98
2023-10-05,9746,8013,160,205
2023-10-06,3797,3541,897,59
2023-10-07,6430,5921,209,265
2023-10-08,6591,6987,756,247
2023-10-09,2261,7563,259,387
2023-10-10,6014,19132,953,443
2023-10-11,2116,8814,133,225
2023-10-12,5353,10336,344,96
2023-10-13,9236,10294,363,418
2023-10-14,5965,12649,238,319
2023-10-15,3600,11563,636,58
2023-10-16,9150,4234,503,325
2023-10-17,5579,11719,579,305
2023-10-18,5708,17776,842,330
2023-10-19,4748,18354,890,219
2023-10-20,8625,19475,768,347
2023-10-21,5219,6020,882,208
2023-10-22,6312,9080,961,224
2023-10-23,7561,12547,422,382
2023-10-24,1298,16726,264,343
2023-10-25,4711,7724,385,440
2023-10-26,2670,17081,114,248
2023-10-27,6223,10391,562,143
2023-10-28,3096,18233,865,125
2023-10-29,3042,12341,328,439
2023-10-30,4401,7905,384,475
2023-10-31,6025,10992,283,293
2023-11-01,2462,13842,252,193
2023-11-02,3341,10098,721,368
2023-11-03,4889,19675,466,244
2023-11-04,1431,8965,130,386
2023-11-05,9616,8105,282,459
2023-11-06,3488,8582,730,269
2023-11-07,7465,9626,510,208
2023-11-08,2959,18379,501,467
2023-11-09,9932,5873,835,481
2023-11-10,5068,2859,303,147
2023-11-11,4046,12202,595,426
2023-11-12,8464,16291,828,406
2023-11-13,5664,12547,636,215
2023-11-14,9934,12229,385,60
2023-11-15,4584,7200,669,328
2023-11-16,3738,2628,295,410
2023-11-17,2643,17453,780,231
2023-11-18,5173,10250,714,240
2023-11-19,5162,3044,549,475
2023-11-20,1549,2808,216,91
2023-11-21,8910,10997,165,150
2023-11-22,1214,15759,680,178
2023-11-23,9715,12012,292,159
2023-11-24,3670,17527,305,337
2023-11-25,4903,16790,906,334
2023-11-26,1373,13092,209,102
2023-11-27,7875,12646,704,139
2023-11-28,4122,9690,223,70
2023-11-29,7752,17792,377,356
2023-11-30,2864,8326,951,365
2023-12-01,7590,5814,211,175
2023-12-02,6170,16910,757,466
2023-12-03,1039,19036,426,453
2023-12-04,4516,10849,671,314
2023-12-05,3550,2522,437,166
2023-12-06,3507,14137,623,460
2023-12-07,6569,11507,895,364
2023-12-08,4332,2807,632,478
2023-12-09,8055,7342,849,102
2023-12-10,3794,18985,265,496
2023-12-11,9792,19572,304,214
2023-12-12,4424,17286,630,283
2023-12-13,7232,13891,437,158
2023-12-14,7420,19892,811,399
2023-12-15,4997,19613,132,55
2023-12-16,6802,5189,977,290
2023-12-17,4328,3475,176,268
2023-12-18,7598,17917,945,480
2023-12-19,1516,14882,252,98
2023-12-20,6146,14019,499,433
2023-12-21,9636,16529,641,261
2023-12-22,6419,5260,167,195
2023-12-23,1202,10669,798,181
2023-12-24,1090,16620,467,154
2023-12-25,7167,19660,867,232
2023-12-26,7379,6299,322,479
2023-12-27,5626,6236,682,155
2023-12-28,4002,6570,485,377
2023-12-29,3149,3748,852,369
2023-12-30,7972,12146,569,204
2023-12-31,3232,11120,587,292
2024-01-01,2628,9161,671,187
2024-01-02,8722,7293,472,205
2024-01-03,2668,4332,283,177
2024-01-04,8623,13991,725,466
2024-01-05,6449,11473,615,395
2024-01-06,4499,14383,584,308
2024-01-07,3371,12859,347,315
2024-01-08,4762,12124,252,366
2024-01-09,4853,9428,291,240
2024-01-10,8502,2855,538,439
2024-01-11,4136,6662,377,452
2024-01-12,1291,13172,690,274
2024-01-13,2494,8090,252,471
2024-01-14,7770,8566,839,123
2024-01-15,2932,7563,415,89
2024-01-16,1979,17898,462,315
2024-01-17,1817,15753,651,267
2024-01-18,4358,11797,531,318
2024-01-19,8941,2127,942,233
2024-01-20,3294,19398,715,216
2024-01-21,5587,7946,841,461
2024-01-22,1919,2706,332,189
2024-01-23,7455,18641,407,200
2024-01-24,3635,2989,757,365
2024-01-25,7550,15175,446,449
2024-01-26,8256,4629,255,94
2024-01-27,7006,5610,584,61
2024-01-28,4940,14029,176,472
2024-01-29,7220,18493,566,326
2024-01-30,7538,11873,265,451
2024-01-31,2911,11143,892,164
2024-02-01,3831,18456,132,235
2024-02-02,1916,16417,501,452
2024-02-03,4907,10301,154,323
2024-02-04,2037,7117,541,292
2024-02-05,1718,4326,420,119
2024-02-06,7025,14234,977,307
2024-02-07,1447,17924,386,229
2024-02-08,7165,3388,142,459
2024-02-09,5298,11920,684,181
2024-02-10,1641,17472,327,270
2024-02-11,2622,2977,423,63
2024-02-12,4379,11263,174,85
2024-02-13,1561,4973,515,199
2024-02-14,4917,14188,269,302
2024-02-15,1043,13172,909,435
2024-02-16,7291,15728,200,295
2024-02-17,2978,19432,705,235
2024-02-18,6402,8268,531,92
2024-02-19,1645,11131,908,323
2024-02-20,7745,6334,116,387
2024-02-21,4026,17090,951,435
2024-02-22,6991,6678,645,479
2024-02-23,2783,11298,966,354
2024-02-24,2197,3480,204,266
2024-02-25,5959,6547,403,82
2024-02-26,8002,5357,125,359
2024-02-27,7577,9092,493,283
2024-02-28,6949,13753,894,454
2024-02-29,6287,10270,739,326
2024-03-01,7690,16929,637,411
2024-03-02,9485,17109,867,319
2024-03-03,4135,3706,105,437
2024-03-04,7896,5586,665,277
2024-03-05,8054,10763,344,302
2024-03-06,4943,16110,448,89
2024-03-07,5319,19668,955,371
2024-03-08,3767,7275,357,391
2024-03-09,2854,2264,373,129
2024-03-10,1528,13882,651,113
2024-03-11,3019,6270,932,416
2024-03-12,6769,17869,433,253
2024-03-13,3175,4679,913,428
2024-03-14,6011,18840,997,460
2024-03-15,1511,12288,619,68
2024-03-16,6578,16889,358,158
2024-03-17,7302,17741,739,87
2024-03-18,4050,7428,892,117
2024-03-19,2778,16699,442,296
2024-03-20,2753,4019,437,270
2024-03-21,1206,9835,467,459
2024-03-22,3527,10859,572,183
2024-03-23,6750,10172,401,120
2024-03-24,1385,3909,294,143
2024-03-25,8288,7502,564,458
2024-03-26,5184,5767,660,461
2024-03-27,6587,8689,424,494
2024-03-28,1721,5140,369,161
2024-03-29,2428,15109,627,275
2024-03-30,6955,6445,813,232
2024-03-31,9890,15643,748,404
2024-04-01,6149,12201,521,417
2024-04-02,2856,13222,107,370
2024-04-03,6849,10471,732,494
2024-04-04,1132,3074,292,419
2024-04-05,2384,16557,790,208
2024-04-06,3876,19111,743,344
2024-04-07,7485,14633,617,344
2024-04-08,6160,16706,123,426
2024-04-09,1702,3466,924,84
2024-04-10,7192,10584,426,283
2024-04-11,4311,15078,944,413
2024-04-12,6198,9977,542,296
2024-04-13,2780,9530,683,251
2024-04-14,7020,8106,873,118
2024-04-15,6652,4045,872,202
2024-04-16,9890,14872,387,343
2024-04-17,6126,12930,491,391
2024-04-18,3552,18001,227,372
2024-04-19,4047,9303,637,491
2024-04-20,6362,3437,438,286
2024-04-21,1658,2402,489,76
2024-04-22,8477,11092,635,178
2024-04-23,7708,17356,775,233
2024-04-24,6110,17899,951,490
2024-04-25,8297,7742,984,497
2024-04-26,1528,8731,935,358
2024-04-27,7642,5352,862,52
2024-04-28,3144,18867,983,283
2024-04-29,3692,19873,170,358
2024-04-30,8140,18260,667,273
2024-05-01,2381,6963,375,367
2024-05-02,9956,16359,471,368
2024-05-03,1578,7008,341,433
2024-05-04,4896,8347,921,124
2024-05-05,8549,14619,230,193
2024-05-06,1122,6426,937,466
2024-05-07,8672,10023,811,473
2024-05-08,9638,17137,600,329
2024-05-09,6571,9761,519,309
2024-05-10,6375,3355,745,387
2024-05-11,8240,15379,956,113
2024-05-12,8509,6009,867,175
2024-05-13,6740,12689,342,338
2024-05-14,7835,9966,125,328
2024-05-15,2111,14944,936,325
2024-05-16,2992,16239,406,489
2024-05-17,6745,8439,921,406
2024-05-18,7921,2342,643,307
2024-05-19,6066,19154,494,130
2024-05-20,6833,13624,282,129
2024-05-21,1910,10293,290,223
2024-05-22,2753,8610,946,296
2024-05-23,6509,11842,213,303
2024-05-24,9527,3735,391,153
2024-05-25,3771,18773,341,428
2024-05-26,7797,6301,184,175
2024-05-27,2324,10187,469,486
2024-05-28,8052,7416,874,78
2024-05-29,4064,8390,233,215
2024-05-30,1307,11360,519,462
2024-05-31,4668,12744,617,119
2024-06-01,8386,14321,187,97
2024-06-02,2698,4127,781,83
2024-06-03,8520,10910,904,263
2024-06-04,7294,3413,867,247
2024-06-05,5938,10173,270,311
2024-06-06,8438,13602,219,90
2024-06-07,2098,15818,934,401
2024-06-08,2376,6811,636,471
2024-06-09,4211,3222,160,325
2024-06-10,8592,13972,188,61
2024-06-11,8906,13482,182,189
2024-06-12,5904,12239,893,401
2024-06-13,9343,9003,837,130
2024-06-14,3943,7050,282,181
2024-06-15,4373,10388,380,97
2024-06-16,7904,9727,736,475
2024-06-17,4454,6681,744,235
2024-06-18,2003,11572,637,380
2024-06-19,6569,3296,114,387
2024-06-20,8623,5592,761,218
2024-06-21,5220,18186,945,412
2024-06-22,1859,17560,923,421
2024-06-23,3481,17179,946,330
2024-06-24,7496,15800,399,497
2024-06-25,8509,5572,113,206
2024-06-26,6910,13139,717,79
2024-06-27,1200,14001,773,162
